concession,sample_id,sample_type,lat,lon,utm_zone,utm_easting,utm_northing,grade_g_t,page,source_pdf
amenam,AMPIT028,test_pit,6.409559,-1.026961,30N,718229.0,708898.0,1.37,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT029,test_pit,6.409471,-1.025262,30N,718417.0,708889.0,0.54,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT030,test_pit,6.412802,-1.021616,30N,718819.0,709259.0,0.79,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT031,test_pit,6.414769,-1.02075,30N,718914.0,709477.0,0.2,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT032,test_pit,6.413252,-1.023548,30N,718605.0,709308.0,0.4,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT033,test_pit,6.414086,-1.024042,30N,718550.0,709400.0,1.6,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT034,test_pit,6.415227,-1.022104,30N,718764.0,709527.0,1.45,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT035,test_pit,6.415263,-1.024462,30N,718503.0,709530.0,0.0,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT036,test_pit,6.415987,-1.022399,30N,718731.0,709611.0,1.11,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT037,test_pit,6.416213,-1.024739,30N,718472.0,709635.0,1.43,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT038,test_pit,6.412854,-1.018805,30N,719130.0,709266.0,0.56,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT039,test_pit,6.414756,-1.019656,30N,719035.0,709476.0,3.45,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT040,test_pit,6.413635,-1.017266,30N,719300.0,709353.0,0.99,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT041,test_pit,6.415264,-1.017738,30N,719247.0,709533.0,1.45,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
amenam,AMPIT042,test_pit,6.413829,-1.015927,30N,719448.0,709375.0,0.81,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf
